date,team_a,score,team_b
2010-10-07,87,4:0,88
2010-10-13,61,0:6,87
2010-10-16,73,2:2,57
2010-10-16,52,3:3,66
2010-10-16,70,5:1,56
2010-10-17,69,3:2,63
2010-10-17,35,5:6,60
2010-10-17,54,2:4,61
2010-10-17,72,4:1,65
2010-10-17,6,2:3,27
2010-10-19,88,0:8,85
2010-10-20,87,8:0,46
2010-10-23,21,3:0,26
2010-10-23,58,6:2,65
2010-10-23,47,2:3,53
2010-10-23,62,4:0,54
2010-10-24,61,2:5,48
2010-10-24,69,5:0,56
2010-10-24,74,1:8,70
2010-10-24,8,2:0,27
2010-10-24,54,1:10,46
2010-10-24,75,1:3,64
2010-10-24,73,2:2,52
2010-10-24,35,4:2,21
2010-10-26,85,5:2,46
2010-10-26,87,5:1,47
2010-10-30,48,5:3,62
2010-10-30,46,2:3,47
2010-10-30,56,1:8,75
2010-10-30,65,3:3,73
2010-10-30,63,1:1,70
2010-10-31,10,1:1,6
2010-10-31,65,6:0,88
2010-11-02,46,2:1,47
2010-11-02,87,2:1,85
2010-11-03,88,3:2,61
2010-11-06,63,10:2,74
2010-11-06,57,2:1,66
2010-11-06,46,4:1,61
2010-11-06,53,1:3,48
2010-11-06,58,2:3,52
2010-11-06,54,0:2,47
2010-11-07,64,6:2,56
2010-11-07,35,6:0,26
2010-11-07,74,4:3,69
2010-11-07,70,1:1,75
2010-11-07,62,2:4,47
2010-11-09,85,1:2,47
2010-11-11,61,0:2,46
2010-11-14,47,5:5,95
2010-11-14,69,3:10,98
2010-11-16,46,3:1,88
2010-11-17,85,4:2,61
2010-11-27,35,4:2,64
2010-11-27,48,4:0,76
2010-11-27,57,1:4,89
2010-12-04,48,2:3,65
2010-12-04,76,2:2,61
2010-12-11,61,6:2,65
2010-12-12,76,2:5,47
2010-12-12,53,4:6,47
2010-12-18,48,1:4,47
2010-12-18,95,3:3,75
2010-12-25,98,3:0,53
2010-12-26,47,1:3,61
2011-01-05,65,2:1,76
2011-01-08,47,3:4,65
2011-01-08,75,5:5,47
2011-01-08,48,0:2,61
2011-01-08,98,5:0,95
2011-01-15,89,4:0,64
2011-01-15,47,6:5,98
2011-01-22,75,2:4,98
2011-02-03,127,5:12,128
2011-02-05,48,1:1,57
2011-02-05,65,2:3,89
2011-02-12,35,5:1,64
2011-02-23,88,0:3,147
2011-02-23,147,1:3,65
2011-02-23,88,0:4,5
2011-02-23,5,1:4,65
2011-02-23,65,7:1,88
2011-02-23,5,5:1,147
2011-02-23,57,5:3,61
2011-02-26,48,2:2,61
2011-03-07,148,1:1,149
2011-03-07,48,5:2,149
2011-03-07,148,1:3,166
2011-03-07,48,10:1,148
2011-03-08,48,6:1,166
2011-03-08,149,0:4,166
2011-03-26,157,3:0,156
2011-03-26,57,0:1,35
2011-03-26,156,4:1,158
2011-03-27,157,5:0,158
2011-04-03,158,1:11,48
2011-04-03,48,6:2,158
2011-04-09,48,2:0,158
2011-04-16,57,2:2,48
2011-04-16,95,3:4,58
2011-04-16,66,4:3,69
2011-04-16,61,5:3,5
2011-04-17,47,1:1,58
2011-04-17,48,4:1,88
2011-04-17,35,2:1,66
