<<<
B2 736,Тбилиси,Embraer 195,05:45
B2 928,Краснодар,CRJ 100/200,06:30
B2 954,Москва(Домодедово),Embraer 175,07:00
B2 944,Санкт-Петербург(Пулково),CRJ 100/200,07:00
B2 848,Киев(Жуляны),Boeing 737-300,07:10
B2 738,Батуми,CRJ 100/200,07:15
B2 746,Ашхабад,Boeing 737-800,07:20
B2 984,Москва(Домодедово),Embraer 195,10:20
B2 948,Калининград,CRJ 100/200,11:10
B2 844,Киев(Борисполь),Boeing 737-500,11:20
B2 972,Москва(Жуковский),Boeing 737-800,11:45
B2 942,Санкт-Петербург(Пулково),Embraer 175,12:00
B2 8706,Ноябрьск,Boeing 737-800,12:05
B2 958,Москва(Домодедово),Boeing 737-300,12:20
B2 8132,Хургада,Boeing 737-800,14:35
B2 8216 Шарм Эль Шейх Boeing 737-800 14:40 Запланирован
B2 952,Москва(Домодедово),Boeing 737-300,16:00
B2 940,Санкт-Петербург(Пулково),Boeing 737-300,16:10
B2 852,Лондон(Гатвик),Embraer 175,16:15
B2 840,Киев(Жуляны),Boeing 737-300,16:15
B2 868,Амстердам,Boeing 737-500,16:30
B2 886,Рим(Фьюмичино),Boeing 737-500,16:35
B2 862,Прага,Boeing 737-500,16:35
B2 892,Берлин(Шенефельд),CRJ 100/200,16:35
B2 828,Львов,Embraer 175,16:35
B2 850,Одесса,Boeing 737-300,17:05
B2 898,Ганновер,CRJ 100/200,17:15
B2 896,Варшава,Boeing 737-500,18:10
B2 894,Франкфурт,Embraer 195,19:05
B2 804,Вильнюс,CRJ 100/200,19:15
B2 830,Киев(Жуляны),Boeing 737-300,20:00
B2 846,Киев(Борисполь),Embraer 175,21:05
B2 956,Москва(Домодедово),Boeing 737-800,21:10
B2 946,Санкт-Петербург(Пулково),Boeing 737-500,21:30
B2 870,Барселона,Embraer 195,21:40
B2 994,Москва(Домодедово),Boeing 737-500,23:10
>>>
B2 737,Батуми,CRJ 100/200,00:10
B2 927,Краснодар,CRJ 100/200,00:25
B2 8215 Шарм Эль Шейх Boeing 737-800 05:05 Запланирован
B2 8131,Хургада,Boeing 737-800,05:10
B2 983,Москва(Домодедово),Embraer 195,06:45
B2 971,Москва(Жуковский),Boeing 737-800,08:15
B2 947,Калининград,CRJ 100/200,08:30
B2 843,Киев(Борисполь),Boeing 737-500,08:35
B2 941,Санкт-Петербург(Пулково),Embraer 175,08:35
B2 957,Москва(Домодедово),Boeing 737-300,08:45
B2 851,Лондон(Гатвик),Embraer 175,09:15
B2 885,Рим(Фьюмичино),Boeing 737-500,09:45
B2 867,Амстердам,Boeing 737-500,10:30
B2 897,Ганновер,CRJ 100/200,12:20
B2 861,Прага,Boeing 737-500,12:20
B2 891,Берлин(Шенефельд),CRJ 100/200,12:25
B2 951,Москва(Домодедово),Boeing 737-300,12:30
B2 939,Санкт-Петербург(Пулково),Boeing 737-300,12:40
B2 849,Одесса,Boeing 737-300,13:00
B2 827,Львов,Embraer 175,13:10
B2 893,Франкфурт,Embraer 195,13:20
B2 869,Барселона,Embraer 195,13:25
B2 839,Киев(Жуляны),Boeing 737-300,13:30
B2 895,Варшава,Boeing 737-500,15:00
B2 829,Киев(Жуляны),Boeing 737-300,17:15
B2 803,Вильнюс,CRJ 100/200,17:35
B2 955,Москва(Домодедово),Boeing 737-800,17:35
B2 945,Санкт-Петербург(Пулково),Boeing 737-500,18:05
B2 845,Киев(Борисполь),Embraer 175,18:15
B2 993,Москва(Домодедово),Boeing 737-500,19:30
B2 767,Алматы,Boeing 737-800,20:15
B2 775,Астана,Embraer 195,20:15
B2 847,Киев(Жуляны),Boeing 737-300,22:40
B2 735,Тбилиси,Embraer 175,22:45
B2 953,Москва(Домодедово),Boeing 737-500,22:45
B2 943,Санкт-Петербург(Пулково),CRJ 100/200,22:55
B2 835,Харьков,CRJ 100/200,23:00
B2 739,Баку(Гейдар Алиев),Embraer 195,23:15
